sid,name,time,sat,vmax,lat,lon,eye_prob,category
2013281N12098,PHAILIN,2013-10-07 12:00:00,FY2-E,20.0,11.8,97.6,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-07 12:00:00,MET-7,20.0,11.8,97.6,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-07 12:00:00,MTS-2,20.0,11.8,97.6,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-07 15:00:00,FY2-E,23.0,12.0,97.0,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-07 15:00:00,MET-7,23.0,12.0,97.0,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-07 15:00:00,MTS-2,23.0,12.0,97.0,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-07 18:00:00,MET-7,25.0,12.1,96.4,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-07 18:00:00,MTS-2,25.0,12.1,96.4,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-07 21:00:00,FY2-E,25.0,12.2,95.9,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-07 21:00:00,MET-7,25.0,12.2,95.9,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-07 21:00:00,MTS-2,25.0,12.2,95.9,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-08 00:00:00,FY2-E,25.0,12.3,95.6,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-08 00:00:00,MET-7,25.0,12.3,95.6,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-08 00:00:00,MTS-2,25.0,12.3,95.6,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-08 03:00:00,FY2-E,25.0,12.4,95.5,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-08 03:00:00,MET-7,25.0,12.4,95.5,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-08 03:00:00,MTS-2,25.0,12.4,95.5,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-08 06:00:00,FY2-E,25.0,12.4,95.2,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-08 06:00:00,MET-7,25.0,12.4,95.2,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-08 06:00:00,MTS-2,25.0,12.4,95.2,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-08 09:00:00,FY2-E,28.0,12.4,94.9,,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-08 09:00:00,MET-7,28.0,12.4,94.9,,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-08 09:00:00,MTS-2,28.0,12.4,94.9,,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-08 12:00:00,FY2-E,30.0,12.4,94.5,2.821899890899658,Depression / Deep Depression
